Time (s),Velocity - X (cm/s),Velocity - Y (cm/s),Velocity - Total (cm/s)
135.09,0.19,12.53,12.53
135.26,0.31,11.04,11.05
135.41,0.13,8.12,8.12
135.57,-0.02,3.93,3.93
135.72,-0.11,4.47,4.47
135.89,0.15,14.62,14.62
136.04,0.28,12.05,12.05
136.2,0.22,7.78,7.78
136.37,0.19,10.09,10.09
136.54,-0.01,6.55,6.55
136.69,-0.04,2.35,2.35
136.84,0.14,8.89,8.89
137,0.32,9.8,9.81
137.14,0.08,7.62,7.62
137.31,0,11.35,11.35
137.48,0.15,4.08,4.09
137.63,0.16,14.03,14.04
137.79,0.01,10.35,10.35
137.94,0.1,9.1,9.1
138.11,0.2,5.76,5.76
138.26,0.26,14.83,14.84
138.43,0.1,8.16,8.16
138.57,0.01,8.64,8.64
138.74,-0.01,11.15,11.15
138.89,0.18,8.98,8.99
139.03,0.15,8.66,8.66
139.2,0.11,11.04,11.04
139.36,-0.04,11.73,11.73
139.51,0,10.35,10.35
139.66,0.21,5.94,5.94
139.82,0.02,8.94,8.94
139.98,0.04,11.31,11.31
140.15,0.06,9.81,9.81
140.3,0,6.83,6.83
140.46,0.07,10.65,10.65
140.61,0.44,14.91,14.92
140.78,0.38,12.93,12.93
140.94,0.16,13.93,13.93
141.1,0,7.02,7.02
141.25,0.01,6.31,6.31
141.4,-0.02,6.46,6.46
141.55,0.24,4.83,4.83
141.72,0.32,4.71,4.72
141.87,0.17,7.09,7.09
142.04,-0.1,14.43,14.43
142.19,-0.08,9.51,9.51
142.35,0.12,7.15,7.15
142.5,0.2,4.97,4.98
142.67,0.11,7.91,7.91
142.84,-0.07,12.89,12.9
142.99,-0.02,11.39,11.39
143.14,0.08,8.99,8.99
143.3,0.24,9.92,9.92
143.46,0.2,12.88,12.88
143.61,-0.04,9.61,9.61
143.78,-0.23,9.37,9.38
143.94,0.05,10.34,10.34
144.09,0.6,13.12,13.13
144.24,0.26,12.34,12.34
144.41,-0.15,11.38,11.38
144.56,-0.31,14.32,14.33
144.72,-0.07,4.75,4.75
144.89,0.74,14.26,14.28
145.03,0.56,17.66,17.67
145.2,-0.17,15.72,15.72
145.36,-0.34,15.18,15.18
145.51,-0.16,9.59,9.59
145.66,0.53,10.28,10.29
145.81,0.69,14.01,14.03
145.98,-0.01,16.04,16.04
146.15,-0.27,14.63,14.63
146.3,-0.22,10.9,10.9
146.46,0.39,9.4,9.41
146.63,0.64,16.76,16.77
146.78,0.59,19.04,19.05
146.95,-0.24,15.03,15.03
147.1,-0.67,13.23,13.25
147.25,0.28,10.74,10.75
147.4,0.78,14.3,14.32
147.57,0.33,7.59,7.6
147.72,-0.42,6.56,6.57
147.88,-0.87,13.59,13.62
148.05,0.1,12.11,12.11
148.2,0.6,12.44,12.46
148.35,0.31,14.43,14.44
148.52,-0.12,13.7,13.7
148.68,-0.25,10.86,10.86
148.83,-0.07,8.68,8.68
148.99,0.59,8.57,8.59
149.16,0.43,10.86,10.87
149.32,0.14,8.13,8.13
149.47,-0.13,8.33,8.33
149.62,-0.25,7.22,7.22
149.79,0.35,3.7,3.71
149.94,0.61,12.03,12.04
150.11,0.31,11.93,11.93
150.26,-0.17,10.26,10.26
150.42,-0.2,11.15,11.15
150.59,0.09,8.34,8.35
150.74,0.71,9.36,9.39
150.89,0.58,5.83,5.86
151.06,-0.23,13.96,13.96
151.2,-0.4,4.15,4.16
151.36,0,13.59,13.59
151.51,0.67,11.82,11.84
151.68,0.49,9.45,9.46
151.83,0,16.08,16.08
152,-0.81,15.82,15.84
152.15,-0.41,10.67,10.68
152.31,0.9,17.6,17.62
152.46,0.79,12.46,12.49
152.63,-0.17,14.41,14.41
152.78,-0.87,5.54,5.6
152.94,-0.17,13.66,13.66
153.09,0.89,18.64,18.66
153.26,0.82,13.86,13.88
153.42,-0.12,12.39,12.39
153.57,-0.62,13.21,13.23
153.72,-0.29,11.35,11.36
153.88,1.03,14.6,14.63
154.05,1.12,14.79,14.83
154.2,-0.03,15.49,15.49
154.35,-0.28,13.77,13.78
154.52,-0.23,12.99,13
154.68,0.81,10.88,10.91
154.83,1.26,14.94,14.99
154.98,0.13,10.55,10.55
155.15,-0.43,12.65,12.66
155.3,-0.35,13.81,13.82
155.47,0.52,9.22,9.24
155.62,1.12,12.91,12.96
155.77,0.41,12.19,12.19
155.94,-0.68,8.54,8.57
156.09,-0.53,14.22,14.23
156.26,0.45,10.37,10.38
156.42,1.11,17.71,17.74
156.57,0.58,15.19,15.2
156.74,-0.57,10.64,10.66
156.89,-0.92,10.69,10.73
157.05,0.14,15.35,15.35
157.2,0.95,13.46,13.49
157.37,0.82,11.98,12.01
157.53,-0.5,14.39,14.4
157.67,-0.84,15.22,15.24
157.84,-0.08,7.52,7.52
157.99,1.11,17.62,17.66
158.14,0.79,14.61,14.63
158.29,-0.13,15.19,15.19
158.46,-0.46,19.61,19.62
158.61,-0.39,9.49,9.5
158.78,0.87,14.71,14.74
158.94,1.21,10.83,10.9
159.09,-0.18,12.25,12.25
159.26,-1.7,9.13,9.29
159.41,-0.99,6.29,6.36
159.57,0.73,8.4,8.43
159.73,0.15,2.79,2.79
159.88,0.02,1.85,1.85
160.04,0.14,2.4,2.41
160.2,0,1.19,1.19
160.37,0.18,1.99,2
160.52,0.66,10.04,10.06
160.66,0.4,11.84,11.84
160.83,-0.09,8.88,8.88
161,-0.09,5.25,5.25
161.15,0.22,6.96,6.97
161.3,0.37,5.21,5.22
161.46,-0.09,7.12,7.12
161.62,0.08,2.93,2.93
161.78,0.03,1.84,1.84
161.93,-0.16,8.46,8.46
162.1,0.38,9.16,9.17
162.24,0.28,9.48,9.48
162.4,0.04,4.54,4.54
162.56,0.15,5.87,5.87
162.72,0.1,11.02,11.02
162.87,0.13,-1.44,1.44
163.04,0.41,8.2,8.21
163.19,0.21,8.01,8.01
163.35,0.04,6.29,6.29
163.5,0.09,3.03,3.04
163.65,0.1,7.09,7.09
163.82,-0.03,3.15,3.15
163.99,0.08,10.72,10.72
164.13,-0.21,6.96,6.96
164.29,0.06,9.05,9.05
164.46,0.36,10.02,10.02
164.61,0.19,6.82,6.82
164.78,0.04,8.56,8.56
164.93,-0.27,12.64,12.64
165.09,-0.33,10.25,10.26
165.24,0.41,8.29,8.3
165.41,0.47,13.63,13.64
165.57,0.35,13.48,13.48
165.74,-0.27,9.03,9.04
165.89,-0.39,11.02,11.03
166.04,0.01,13.07,13.07
166.21,0.45,13.92,13.93
166.36,0.31,11.79,11.79
166.51,-0.38,15.82,15.83
166.67,-0.78,17.86,17.88
166.83,0.6,10.51,10.53
166.98,1.35,18.73,18.78
167.15,0.22,9.93,9.93
167.3,-0.37,12.37,12.37
167.46,-0.66,13.65,13.67
167.63,0.44,12.6,12.61
167.78,0.98,12.63,12.67
167.94,0.56,9.19,9.21
168.09,-0.79,14.83,14.85
168.25,-0.79,11.61,11.64
168.41,0.52,13.46,13.47
168.57,0.94,11.84,11.88
168.72,0.58,15.76,15.77
168.88,-0.53,14.07,14.08
169.04,-0.87,10.93,10.96
169.2,0.14,14.86,14.86
169.37,0.91,15.87,15.89
169.52,0.51,12.26,12.27
169.68,-0.19,13.29,13.29
169.83,-0.23,13.23,13.23
170,-0.01,10.8,10.8
170.15,0.82,11.36,11.39
170.31,1,15.78,15.81
170.47,0.11,14.85,14.85
170.63,-0.44,14.2,14.2
170.79,-0.27,14.95,14.95
170.94,0.84,9,9.04
171.09,1.18,18.03,18.07
171.25,-0.05,14.81,14.81
171.41,-0.42,14.33,14.34
171.57,-0.35,13.17,13.18
171.72,0.6,14.8,14.81
171.87,0.9,11.61,11.65
172.04,0.26,14.69,14.69
172.21,-0.51,16.39,16.39
172.35,-0.48,13.47,13.48
172.51,0.5,13.71,13.72
172.67,0.93,14.32,14.35
172.82,0.2,16.5,16.5
172.98,-0.5,14.26,14.27
173.13,-0.47,13.4,13.41
173.29,0.38,13.91,13.91
173.45,0.68,12.4,12.42
173.61,0.19,12.5,12.5
173.76,-0.06,9.56,9.56
173.93,-0.32,5.9,5.91
174.08,-0.09,13.18,13.18
174.24,0.59,11.23,11.24
174.39,0.33,2.12,2.15
174.56,0.01,12.06,12.06
174.71,-0.35,12.55,12.56
174.87,-0.07,11.86,11.86
175.03,0.83,16.48,16.5
175.18,0.42,12.76,12.77
175.35,0.04,15.11,15.11
175.5,-0.45,6.04,6.05
175.67,-0.03,7.94,7.94
175.83,0.49,11.4,11.41
175.98,0.19,8.58,8.58
176.15,-0.03,12.73,12.73
176.3,-0.43,6.95,6.96
176.46,-0.34,7.87,7.88
176.62,0.84,7.97,8.02
176.79,0.57,8.89,8.9
176.94,0,5.26,5.26
177.09,-0.22,15.83,15.83
177.26,-0.68,3.81,3.87
177.41,0.6,6.09,6.12
177.57,0.5,4.16,4.19
177.74,0.31,8.58,8.59
177.89,-0.26,12.65,12.65
178.05,-0.71,1.79,1.93
178.22,0.57,12.11,12.13
178.37,0.76,12.95,12.97
178.53,0.29,10.07,10.07
178.68,-0.33,13.17,13.17
178.85,-0.57,14.05,14.06
178.99,0.52,8.56,8.57
179.16,0.92,18.56,18.58
179.31,0.11,13.52,13.52
179.46,-0.67,11.92,11.94
179.63,-0.33,13.44,13.44
179.79,0.51,13.7,13.71
179.94,0.56,14.49,14.5
180.11,0.03,15.98,15.98
180.26,-0.42,13.04,13.04
180.41,-0.01,11.71,11.71
180.58,0.4,11.93,11.94
180.74,0.26,14.91,14.91
180.88,0.14,14.13,14.13
181.05,-0.39,1.01,1.08
181.2,-0.23,9.43,9.43
181.37,0.51,14.54,14.54
181.51,0.44,14.2,14.21
181.68,0.14,18.93,18.93
181.83,-0.55,9.64,9.65
182,-0.41,12.5,12.51
182.15,0.91,3.35,3.47
182.31,1.25,16.2,16.24
182.47,0.26,15.76,15.77
182.63,-0.86,8.51,8.56
182.79,-0.52,14.81,14.81
182.94,0.25,5.17,5.18
183.1,1.02,10.11,10.17
183.25,0.21,12.28,12.28
183.42,-0.14,9.82,9.83
183.59,-0.29,6.94,6.94
183.74,0.31,13.52,13.53
183.89,0.8,18.37,18.39
184.05,0.58,14.56,14.57
184.2,-0.16,17.42,17.42
184.37,-0.67,14.6,14.61
184.52,0.04,13.51,13.51
184.67,0.66,9.87,9.89
184.84,0.41,14.2,14.21
184.99,-0.09,15.23,15.23
185.14,-0.21,12.48,12.48
185.31,0.1,12.4,12.4
185.47,0.38,13.76,13.77
185.63,0.39,10.4,10.41
185.77,0.09,12.95,12.95
185.94,-0.18,14.13,14.13
186.11,0.04,11.04,11.04
186.26,0.2,14.02,14.02
186.42,0.38,11.99,12
186.57,0.09,6.38,6.38
186.73,0.09,9.12,9.12
186.89,0.01,11.64,11.64
187.05,0.03,3.29,3.29
187.21,0.35,11.33,11.33
187.37,0.13,11.41,11.41
187.55,-0.08,6.66,6.66
187.68,0.01,9.23,9.23
187.85,0.13,6.73,6.74
188.01,0.51,11.56,11.58
188.16,0.16,9.75,9.76
188.31,0.02,12.88,12.88
188.48,-0.16,6.71,6.71
188.65,-0.05,6.33,6.33
188.79,0.29,8.3,8.31
188.95,0.4,11.61,11.62
189.1,0.1,5.23,5.23
189.28,-0.31,14.99,14.99
189.42,-0.41,7.47,7.48
189.59,0.26,11.79,11.8
189.75,0.63,13.19,13.21
189.9,0.29,11.63,11.64
190.05,-0.18,9.94,9.94
190.22,-0.6,12.45,12.47
190.39,-0.16,12.02,12.02
190.54,0.87,12.51,12.54
190.69,0.64,13.21,13.23
190.85,-0.2,9.22,9.22
191.01,-0.66,8.48,8.51
191.16,-0.07,9.09,9.09
191.32,0.93,13.87,13.9
191.48,0.72,19.59,19.61
191.64,-0.21,18.5,18.5
191.79,-0.57,16.7,16.71
191.94,-0.26,12.12,12.13
192.11,0.67,6.72,6.76
192.26,0.7,12.61,12.63
192.41,-0.15,10.82,10.82
192.57,-0.5,9,9.02
192.72,0.13,12.43,12.43
192.89,0.79,13.42,13.44
193.04,0.52,10.73,10.74
193.2,-0.31,10.46,10.47
193.36,-0.44,9.45,9.46
193.51,-0.14,9.4,9.4
193.67,0.69,5.96,6
193.83,0.49,6.77,6.79
194,0,7.34,7.34
194.15,-0.36,10.59,10.6
194.31,-0.19,7.25,7.25
194.46,0.39,6.9,6.91
194.61,0.52,10.99,11
194.78,0.05,10.2,10.2
194.94,-0.17,14.18,14.18
195.1,-0.07,14.57,14.57
195.26,0.36,12.09,12.09
195.4,0.43,10.32,10.33
195.58,0.13,8.15,8.15
195.72,-0.2,11.04,11.04
195.89,-0.23,7.27,7.27
196.04,0.18,15.63,15.64
196.2,0.48,10.65,10.66
196.37,0.16,9.64,9.64
196.52,-0.15,15.77,15.77
196.67,-0.33,13.43,13.43
196.83,-0.1,13.84,13.84
197,0.53,18.87,18.88
197.14,0.29,9.03,9.03
197.31,-0.3,18.68,18.69
197.46,-0.34,17.69,17.69
197.61,0.16,13.48,13.48
197.8,0.43,19.76,19.77
197.94,0.27,16.93,16.93
198.09,-0.05,14.17,14.17
198.26,-0.2,16.02,16.02
198.41,0.19,12.97,12.97
198.57,0.23,15.53,15.53
198.74,0.06,11.55,11.55
198.89,-0.09,13.24,13.24
199.06,0.06,14.38,14.38
199.21,0.22,11.28,11.28
199.35,0.17,11.26,11.26
199.51,0.04,15.12,15.12
199.67,0,13.58,13.58
199.85,0.06,6.75,6.76
199.98,0.28,11.73,11.74
200.15,0.03,9.78,9.78
200.3,-0.04,12.07,12.07
200.46,0.01,12.7,12.7
200.61,0.21,7.1,7.1
200.79,0.35,6.57,6.58
